 BBQNNRKR bbqnnrkr
 BRQKNBRN brqknbrn
 BRQKNRNB brqknrnb
 RBBQKNRN rbbqknrn
 RQBBKNRN rqbbknrn
 RQBKNBRN rqbknbrn
 RQBKNRNB rqbknrnb
 RBQKBNRN rbqkbnrn
 RQKBBNRN rqkbbnrn
 RQKNBBRN rqknbbrn
 RQKNBRNB rqknbrnb
 RBQKNRBN rbqknrbn
 RQKBNRBN rqkbnrbn
 RQKNRBBN rqknrbbn
 RQKNRNBB rqknrnbb
 BBRKQNRN bbrkqnrn
 BRKBQNRN brkbqnrn
 BRKQNBRN brkqnbrn
 BRKQNRNB brkqnrnb
 RBBKQNRN rbbkqnrn
 RKBBQNRN rkbbqnrn
 RKBQNBRN rkbqnbrn
 RKBQNRNB rkbqnrnb
 RBKQBNRN rbkqbnrn
 RKQBBNRN rkqbbnrn
 RKQNBBRN rkqnbbrn
 RKQNBRNB rkqnbrnb
 RBKQNRBN rbkqnrbn
 RKQBNRBN rkqbnrbn
 RKQNRBBN rkqnrbbn
 RKQNRNBB rkqnrnbb
 BBRKNQRN bbrknqrn
 BRKBNQRN brkbnqrn
 BRKNQBRN brknqbrn
 BRKNQRNB brknqrnb
 RBBKNQRN rbbknqrn
 RKBBNQRN rkbbnqrn
 RKBNQBRN rkbnqbrn
 RKBNQRNB rkbnqrnb
 RBKNBQRN rbknbqrn
 RKNBBQRN rknbbqrn
 RKNQBBRN rknqbbrn
 RKNQBRNB rknqbrnb
 RBKNQRBN rbknqrbn
 RKNBQRBN rknbqrbn
 RKNQRBBN rknqrbbn
 RKNQRNBB rknqrnbb
 BBRKNRQN bbrknrqn
 BRKBNRQN brkbnrqn
 BRKNRBQN brknrbqn
 BRKNRQNB brknrqnb
 RBBKNRQN rbbknrqn
 RKBBNRQN rkbbnrqn
 RKBNRBQN rkbnrbqn
 RKBNRQNB rkbnrqnb
 RBKNBRQN rbknbrqn
 RKNBBRQN rknbbrqn
 RKNRBBQN rknrbbqn
 RKNRBQNB rknrbqnb
 RBKNRQBN rbknrqbn
 RKNBRQBN rknbrqbn
 RKNRQBBN rknrqbbn
 RKNRQNBB rknrqnbb
 BBRKNRNQ bbrknrnq
 BRKBNRNQ brkbnrnq
 BRKNRBNQ brknrbnq
 BRKNRNQB brknrnqb
 RBBKNRNQ rbbknrnq
 RKBBNRNQ rkbbnrnq
 RKBNRBNQ rkbnrbnq
 RKBNRNQB rkbnrnqb
 RBKNBRNQ rbknbrnq
 RKNBBRNQ rknbbrnq
 RKNRBBNQ rknrbbnq
 RKNRBNQB rknrbnqb
 RBKNRNBQ rbknrnbq
 RKNBRNBQ rknbrnbq
 RKNRNBBQ rknrnbbq
 RKNRNQBB rknrnqbb
 BBQRKRNN bbqrkrnn
 BQRBKRNN bqrbkrnn
 BQRKRBNN bqrkrbnn
 BQRKRNNB bqrkrnnb
 QBBRKRNN qbbrkrnn
 QRBBKRNN qrbbkrnn
 QRBKRBNN qrbkrbnn
 QRBKRNNB qrbkrnnb
 QBRKBRNN qbrkbrnn
 QRKBBRNN qrkbbrnn
 QRKRBBNN qrkrbbnn
 QRKRBNNB qrkrbnnb
 QBRKRNBN qbrkrnbn
 QRKBRNBN qrkbrnbn
 QRKRNBBN qrkrnbbn
 QRKRNNBB qrkrnnbb
 BBRQKRNN bbrqkrnn
 BRQBKRNN brqbkrnn
 BRQKRBNN brqkrbnn
 BRQKRNNB brqkrnnb
 RBBQKRNN rbbqkrnn
 RQBBKRNN rqbbkrnn
 RQBKRBNN rqbkrbnn
 RQBKRNNB rqbkrnnb
 RBQKBRNN rbqkbrnn
 RQKBBRNN rqkbbrnn
 RQKRBBNN rqkrbbnn
 RQKRBNNB rqkrbnnb
 RBQKRNBN rbqkrnbn
 RQKBRNBN rqkbrnbn
 RQKRNBBN rqkrnbbn
 RQKRNNBB rqkrnnbb
 BBRKQRNN bbrkqrnn
 BRKBQRNN brkbqrnn
 BRKQRBNN brkqrbnn
 BRKQRNNB brkqrnnb
 RBBKQRNN rbbkqrnn
 RKBBQRNN rkbbqrnn
 RKBQRBNN rkbqrbnn
 RKBQRNNB rkbqrnnb
 RBKQBRNN rbkqbrnn
 RKQBBRNN rkqbbrnn
 RKQRBBNN rkqrbbnn
 RKQRBNNB rkqrbnnb
 RBKQRNBN rbkqrnbn
 RKQBRNBN rkqbrnbn
 RKQRNBBN rkqrnbbn
 RKQRNNBB rkqrnnbb
 BBRKRQNN bbrkrqnn
 BRKBRQNN brkbrqnn
 BRKRQBNN brkrqbnn
 BRKRQNNB brkrqnnb
 RBBKRQNN rbbkrqnn
 RKBBRQNN rkbbrqnn
 RKBRQBNN rkbrqbnn
 RKBRQNNB rkbrqnnb
 RBKRBQNN rbkrbqnn
 RKRBBQNN rkrbbqnn
 RKRQBBNN rkrqbbnn
 RKRQBNNB rkrqbnnb
 RBKRQNBN rbkrqnbn
 RKRBQNBN rkrbqnbn
 RKRQNBBN rkrqnbbn
 RKRQNNBB rkrqnnbb
 BBRKRNQN bbrkrnqn
 BRKBRNQN brkbrnqn
 BRKRNBQN brkrnbqn
 BRKRNQNB brkrnqnb
 RBBKRNQN rbbkrnqn
 RKBBRNQN rkbbrnqn
 RKBRNBQN rkbrnbqn
 RKBRNQNB rkbrnqnb
 RBKRBNQN rbkrbnqn
 RKRBBNQN rkrbbnqn
 RKRNBBQN rkrnbbqn
 RKRNBQNB rkrnbqnb
 RBKRNQBN rbkrnqbn
 RKRBNQBN rkrbnqbn
 RKRNQBBN rkrnqbbn
 RKRNQNBB rkrnqnbb
 BBRKRNNQ bbrkrnnq
 BRKBRNNQ brkbrnnq
 BRKRNBNQ brkrnbnq
 BRKRNNQB brkrnnqb
 RBBKRNNQ rbbkrnnq
 RKBBRNNQ rkbbrnnq
 RKBRNBNQ rkbrnbnq
 RKBRNNQB rkbrnnqb
 RBKRBNNQ rbkrbnnq
 RKRBBNNQ rkrbbnnq
 RKRNBBNQ rkrnbbnq
 RKRNBNQB rkrnbnqb
 RBKRNNBQ rbkrnnbq
 RKRBNNBQ rkrbnnbq
 RKRNNBBQ rkrnnbbq
 RKRNNQBB rkrnnqbb
